Year,height,latitude,logtitude,hour,1,5,10,15,20,25,30,3,7,12,17,23,27
2016,140,19,155,0,5.84E+11,6.40E+11,6.35E+11,6.48E+11,6.52E+11,7.13E+11,7.12E+11,6.34E+11,6.30E+11,6.34E+11,6.60E+11,6.70E+11,6.94E+11
2016,140,19,155,1,6.22E+11,6.81E+11,6.80E+11,6.95E+11,6.51E+11,7.18E+11,7.22E+11,6.80E+11,6.78E+11,6.79E+11,7.09E+11,6.71E+11,6.99E+11
2016,140,19,155,2,6.96E+11,7.60E+11,7.68E+11,7.87E+11,7.32E+11,8.19E+11,8.47E+11,7.60E+11,7.68E+11,7.67E+11,8.08E+11,7.65E+11,8.12E+11
2016,140,19,155,3,8.17E+11,9.00E+11,9.10E+11,9.37E+11,9.12E+11,1.03E+12,1.09E+12,8.94E+11,8.98E+11,9.11E+11,9.67E+11,9.64E+11,1.03E+12
2016,140,19,155,4,9.65E+11,1.07E+12,1.08E+12,1.11E+12,1.12E+12,1.26E+12,1.33E+12,1.06E+12,1.05E+12,1.07E+12,1.14E+12,1.19E+12,1.27E+12
2016,140,19,155,5,1.10E+12,1.21E+12,1.22E+12,1.23E+12,1.28E+12,1.40E+12,1.44E+12,1.20E+12,1.18E+12,1.21E+12,1.27E+12,1.33E+12,1.40E+12
2016,140,19,155,6,1.17E+12,1.27E+12,1.28E+12,1.27E+12,1.30E+12,1.37E+12,1.36E+12,1.26E+12,1.24E+12,1.25E+12,1.29E+12,1.33E+12,1.35E+12
2016,140,19,155,7,1.12E+12,1.20E+12,1.21E+12,1.19E+12,1.18E+12,1.20E+12,1.17E+12,1.20E+12,1.18E+12,1.17E+12,1.19E+12,1.18E+12,1.17E+12
2016,140,19,155,8,9.48E+11,1.00E+12,1.02E+12,9.87E+11,9.72E+11,9.67E+11,9.39E+11,1.02E+12,1.00E+12,9.81E+11,9.81E+11,9.62E+11,9.49E+11
2016,140,19,155,9,7.05E+11,7.49E+11,7.61E+11,7.34E+11,7.24E+11,7.19E+11,7.03E+11,7.53E+11,7.45E+11,7.33E+11,7.30E+11,7.18E+11,7.09E+11
2016,140,19,155,10,4.68E+11,5.05E+11,5.15E+11,4.99E+11,4.98E+11,4.99E+11,4.97E+11,5.02E+11,4.98E+11,4.98E+11,4.99E+11,4.97E+11,4.97E+11
2016,140,19,155,11,3.04E+11,3.33E+11,3.41E+11,3.33E+11,3.34E+11,3.40E+11,3.46E+11,3.27E+11,3.25E+11,3.32E+11,3.35E+11,3.38E+11,3.42E+11
2016,140,19,155,12,2.18E+11,2.38E+11,2.42E+11,2.36E+11,2.38E+11,2.48E+11,2.58E+11,2.34E+11,2.31E+11,2.36E+11,2.40E+11,2.44E+11,2.52E+11
