month,height,latitude,logtitude,2013,2014,2015,2016
1,100,19,155,1.15E+12,8.79E+11,9.26E+11,1.05E+12
2,100,19,155,1.15E+12,7.61E+11,9.60E+11,1.01E+12
3,100,19,155,1.41E+12,1.18E+12,1.36E+12,1.22E+12
4,100,19,155,1.14E+12,9.52E+11,1.09E+12,1.00E+12
5,100,19,155,8.98E+11,7.50E+11,8.46E+11,8.01E+11
6,100,19,155,9.65E+11,8.72E+11,9.11E+11,7.84E+11
7,100,19,155,7.83E+11,7.54E+11,7.37E+11,6.09E+11
8,100,19,155,8.76E+11,8.53E+11,8.33E+11,6.53E+11
9,100,19,155,9.67E+11,8.51E+11,8.78E+11,7.85E+11
10,100,19,155,1.27E+12,1.11E+12,1.15E+12,1.10E+12
11,100,19,155,1.54E+12,1.35E+12,1.40E+12,1.29E+12
12,100,19,155,1.35E+12,1.16E+12,1.28E+12,1.15E+12
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
